tissue,stressor,module,feature_name,feature_type,mean_score,median_score,sign_concordance,n_contrasts,n_panel_genes,n_measured,label,evidence_tier,source,anchor_note,light_dependent_rewiring
shoot,NMF,Hormone transport,Hormone_transporters_NPF,pathway_score,,,0.0,7.0,6.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Hormone transport,Hub_transporter_core,pathway_score,,,0.0,7.0,5.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,DNA repair,Mismatch repair,pathway_score,,,0.0,7.0,32.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,DNA repair,Non-homologous end-joining,pathway_score,,,0.0,7.0,8.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,DNA repair,Nucleotide excision repair,pathway_score,,,0.0,7.0,85.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Light perception,Photoreceptors,pathway_score,,,0.0,7.0,10.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Photosynthesis,Photosynthesis,pathway_score,,,0.0,7.0,46.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Photosynthesis,Photosynthesis - antenna proteins,pathway_score,,,0.0,7.0,22.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Hormone signaling,Plant hormone signal transduction,pathway_score,,,0.0,7.0,433.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,ROS metabolism,ROS_core_NMF,pathway_score,0.2211,0.2135,1.0,7.0,10.0,9.0,modestly_activated,T1,pathway_scores_all.csv,+0.425@4h,False
shoot,NMF,ROS metabolism,ROS_scavenging,pathway_score,0.1811,0.1653,1.0,7.0,24.0,10.0,modestly_activated,T1,pathway_scores_all.csv,+0.371@4h,False
shoot,NMF,Hormone transport,Sugar_transporters_SWEET,pathway_score,,,0.0,7.0,11.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,µg,ABA metabolism,ABA_biosynthesis,pathway_score,0.3821,0.3821,0.5,2.0,8.0,7.0,rewired,T1,pathway_scores_all.csv,+1.407@Dark,True
shoot,µg,ABA metabolism,ABA_signaling,pathway_score,0.3301,0.3301,0.5,2.0,16.0,15.0,n.s.,T1,pathway_scores_all.csv,+0.827@Light,False
shoot,µg,Hormone transport,Auxin_transporters_ABCB,pathway_score,0.6272,0.6272,0.5,2.0,3.0,3.0,rewired,T1,pathway_scores_all.csv,+1.295@Dark,True
