condition,celltype_group,singscore,wilcox_fdr,mean_log2fc,n_sig,n_measured,atlas
120_root_FLT_Light,Liew_root_cap,0.07220728008088982,0.03659377769559298,0.27956649608174056,100,100,Liew2024
120_root_FLT_Light,Liew_stele,0.002261678463094037,0.9374321842003627,-0.013197662374184698,100,100,Liew2024
120_root_FLT_Light,Liew_xylem,-0.05776450041364093,0.10189790825894945,-0.10204064723512694,100,99,Liew2024
120_root_FLT_Dark,Liew_QC,0.03630987372727915,0.3119390273702863,0.2906340510466673,86,86,Liew2024
120_root_FLT_Dark,Liew_cortex,0.024336240310077493,0.45888715105940714,0.4535094341429457,100,96,Liew2024
120_root_FLT_Dark,Liew_epidermis,0.18647096788073064,1.0512431838664536e-09,0.7674444217987728,100,94,Liew2024
120_root_FLT_Dark,Liew_mesophyll,0.05439549328325867,0.0924204329554197,0.5592553371599625,100,98,Liew2024
120_root_FLT_Dark,Liew_precursor_of_cortex_endodermis,0.17248149646107178,4.809007194037434e-09,0.5565386517770675,100,100,Liew2024
120_root_FLT_Dark,Liew_provasculature,-0.1186104290047667,8.263269406558431e-05,-0.2003949683799148,100,98,Liew2024
120_root_FLT_Dark,Liew_root_cap,0.28282386248736097,8.552472506314219e-22,0.720491419890019,100,100,Liew2024
120_root_FLT_Dark,Liew_stele,0.017411324570273036,0.545605215556275,0.2070215102078004,100,100,Liew2024
120_root_FLT_Dark,Liew_xylem,-0.1894487851211815,2.7157658209819286e-10,-0.3083426327967186,100,99,Liew2024
678_leaf_FLT_Light,Liew_QC,0.07698630597651289,0.017687891443636392,0.8786378689927347,86,85,Liew2024
678_leaf_FLT_Light,Liew_cortex,-0.15739616756399802,2.4358473122368136e-07,-0.4969784638511721,100,99,Liew2024
678_leaf_FLT_Light,Liew_epidermis,-0.10568593479288076,0.0006320099536329603,-0.3982142157641145,100,98,Liew2024
678_leaf_FLT_Light,Liew_mesophyll,-0.271333660010617,4.0397056436031976e-20,-1.2668980247931825,100,100,Liew2024
678_leaf_FLT_Light,Liew_precursor_of_cortex_endodermis,-0.040081056801012704,0.1640492898058734,0.07028167993581275,100,100,Liew2024
678_leaf_FLT_Light,Liew_provasculature,0.10384170818884947,0.000645201584832556,0.3716375008090815,100,98,Liew2024
678_leaf_FLT_Light,Liew_root_cap,0.0636077422516232,0.030617490358879517,0.8683824885174674,100,100,Liew2024
678_leaf_FLT_Light,Liew_stele,0.08457429866470657,0.004981371178663479,0.48343476938618557,100,100,Liew2024
678_leaf_FLT_Light,Liew_xylem,-0.14964882192004572,6.118446014198117e-07,-0.6948370137092449,100,100,Liew2024
678_leaf_FLT_Dark,Liew_QC,-0.07109626651101457,0.025786280160957967,-0.4074541481798352,86,85,Liew2024
678_leaf_FLT_Dark,Liew_cortex,0.15335106135057133,2.1222770840736299e-07,0.29245184745714253,100,99,Liew2024
678_leaf_FLT_Dark,Liew_epidermis,-0.11061859510434087,0.0002158919980589132,-0.3044177692619421,100,98,Liew2024
678_leaf_FLT_Dark,Liew_mesophyll,0.21402997264077753,4.888725945104936e-13,0.9911869007198681,100,100,Liew2024
678_leaf_FLT_Dark,Liew_precursor_of_cortex_endodermis,-0.18490220098819876,4.1207838064964564e-10,-0.5555814169644886,100,100,Liew2024
678_leaf_FLT_Dark,Liew_provasculature,0.08946165750386888,0.0027130359014152297,0.07690376706363301,100,98,Liew2024
678_leaf_FLT_Dark,Liew_root_cap,-0.2500975948384989,3.49913827516934e-17,-1.123762798929341,100,100,Liew2024
678_leaf_FLT_Dark,Liew_stele,-0.03772265098615708,0.19035882284973593,-0.09328556579656815,100,100,Liew2024
678_leaf_FLT_Dark,Liew_xylem,-0.1593644085099432,7.112978347213015e-08,-0.4618202235116364,100,100,Liew2024
658_40cGy,Liew_QC,-0.1120069601156905,0.0008954376902318455,-0.2340304026017856,86,83,Liew2024
658_40cGy,Liew_cortex,0.04479986601909231,0.15896413360809541,0.014131942785729793,100,98,Liew2024
658_40cGy,Liew_epidermis,-0.0035953247994436545,0.9021690981454239,-0.05202731646743616,100,97,Liew2024
658_40cGy,Liew_mesophyll,0.052748378363853154,0.10265499580056892,0.021009745568982524,100,99,Liew2024
658_40cGy,Liew_precursor_of_cortex_endodermis,-0.015413472810893685,0.666632831179569,-0.08410476285831069,100,100,Liew2024
658_40cGy,Liew_provasculature,-0.23278316117114295,1.558343327772977e-14,-0.3033640557775585,100,97,Liew2024
658_40cGy,Liew_root_cap,-0.12136092313064703,0.0001324822524796174,-0.2158616275180422,100,94,Liew2024
658_40cGy,Liew_stele,-0.08399920387024722,0.006681813111388356,-0.12917467896224682,100,99,Liew2024
658_40cGy,Liew_xylem,-0.17465230298089116,8.7457605043834e-09,-0.24539225613698035,100,98,Liew2024
658_80cGy,Liew_QC,-0.07865903147263054,0.019322138132795395,-0.08848953593546408,86,83,Liew2024
658_80cGy,Liew_cortex,0.016614184676485785,0.5680063833685842,0.026411385106554563,100,98,Liew2024
658_80cGy,Liew_epidermis,-0.057682081155933304,0.05465619984661765,-0.059370482716421605,100,97,Liew2024
658_80cGy,Liew_mesophyll,-0.09787499851978164,0.0016252141070179126,-0.08572072381427515,100,99,Liew2024
658_80cGy,Liew_precursor_of_cortex_endodermis,-0.12105059067544413,7.912544676895298e-05,-0.13180856302890617,100,100,Liew2024
658_80cGy,Liew_provasculature,-0.09026243151706947,0.003649151676956269,-0.1163943418429743,100,97,Liew2024
658_80cGy,Liew_root_cap,-0.14004006270350336,2.1943866747663503e-05,-0.1209543894735998,100,94,Liew2024
658_80cGy,Liew_stele,-0.06328935490717436,0.03702550285157121,-0.0630304766311081,100,99,Liew2024
658_80cGy,Liew_xylem,-0.1314379390497294,2.818965724830093e-05,-0.10888533616348924,100,98,Liew2024
