condition,study,contrast,tissue,light,pathway_id,pathway_name,source,n_panel_genes,n_measured,mean_log2fc,mean_abs_log2fc,singscore,frac_up,frac_dn,sign_consistency,n_measured_w_padj,n_padj_lt_05,frac_padj_lt_05
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,Photoreceptors,Photoreceptors,Curated,10,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ROS_core_NMF,ROS_core_NMF,User_core,10,9,0.2569306138791729,0.3323598573102314,-0.0756013745704467,0.2222222222222222,0.0,1.0,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ROS_scavenging,ROS_scavenging,Curated,24,10,0.2060836757916592,0.3242777482788047,-0.1059278350515463,0.2,0.0,1.0,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,Sugar_transporters_SWEET,Sugar_transporters_SWEET,Curated,11,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ath00195,Photosynthesis,KEGG,46,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ath00196,Photosynthesis - antenna proteins,KEGG,22,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ath00630,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),KEGG,80,1,,,,,,,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ath00710,Carbon fixation in photosynthetic organisms,KEGG,70,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ath00904,Diterpenoid biosynthesis (GA biosynthesis),KEGG,25,6,0.6536100627710834,0.6989639126297594,0.1039518900343642,0.5,0.0,1.0,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ath00966,Glucosinolate biosynthesis,KEGG,26,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ath03410,Base excision repair,KEGG,50,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ath03420,Nucleotide excision repair,KEGG,85,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ath03430,Mismatch repair,KEGG,32,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ath03440,Homologous recombination,KEGG,60,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ath03450,Non-homologous end-joining,KEGG,8,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ath03460,Fanconi anemia pathway,KEGG,46,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ath04075,Plant hormone signal transduction,KEGG,433,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_1h|shoot|light,Maffei2022_NMF,NMF_vs_GMF_1h,shoot,light,ath04712,Circadian rhythm - plant,KEGG,43,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_24h|root|light,Maffei2022_NMF,NMF_vs_GMF_24h,root,light,ABA_biosynthesis,ABA_biosynthesis,Curated,8,1,,,,,,,0.0,0.0,
Maffei2022_NMF|NMF_vs_GMF_24h|root|light,Maffei2022_NMF,NMF_vs_GMF_24h,root,light,ABA_signaling,ABA_signaling,Curated,16,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_24h|root|light,Maffei2022_NMF,NMF_vs_GMF_24h,root,light,Auxin_transporters_ABCB,Auxin_transporters_ABCB,Curated,3,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_24h|root|light,Maffei2022_NMF,NMF_vs_GMF_24h,root,light,Auxin_transporters_AUX_LAX,Auxin_transporters_AUX_LAX,Curated,3,0,,,,,,,,,
Maffei2022_NMF|NMF_vs_GMF_24h|root|light,Maffei2022_NMF,NMF_vs_GMF_24h,root,light,Auxin_transporters_PIN,Auxin_transporters_PIN,Curated,7,0,,,,,,,,,
