tissue,stressor,pathway,mean_log2fc,median_log2fc,sign_concordance,n_contrasts,n_pos,n_neg,n_panel_genes,n_measured,label,robust_modest_sign
shoot,µg,Sugar_transporters_SWEET,0.9069,0.9069,0.5,2.0,1.0,1.0,11.0,9.0,n.s.,False
whole_seedling,GCR,ABA_biosynthesis,-0.046,-0.046,0.5,2.0,1.0,1.0,8.0,7.0,rewired,False
whole_seedling,GCR,ABA_signaling,0.059,0.059,1.0,2.0,2.0,0.0,16.0,14.0,modestly_activated,True
whole_seedling,GCR,Auxin_transporters_ABCB,,,0.0,2.0,0.0,0.0,3.0,2.0,no_coverage,False
whole_seedling,GCR,Auxin_transporters_AUX_LAX,-0.1308,-0.1308,1.0,2.0,0.0,2.0,3.0,3.0,modestly_suppressed,True
whole_seedling,GCR,Auxin_transporters_PIN,-0.2113,-0.2113,1.0,2.0,0.0,2.0,7.0,7.0,modestly_suppressed,True
whole_seedling,GCR,Base excision repair,0.0593,0.0593,1.0,2.0,2.0,0.0,50.0,48.0,modestly_activated,True
whole_seedling,GCR,Carbon fixation in photosynthetic organisms,-0.0417,-0.0417,1.0,2.0,0.0,2.0,70.0,70.0,modestly_suppressed,True
whole_seedling,GCR,Circadian rhythm - plant,-0.0185,-0.0185,1.0,2.0,0.0,2.0,43.0,41.0,modestly_suppressed,True
whole_seedling,GCR,Circadian_core,0.1229,0.1229,1.0,2.0,2.0,0.0,14.0,14.0,modestly_activated,True
whole_seedling,GCR,Diterpenoid biosynthesis (GA biosynthesis),-0.219,-0.219,1.0,2.0,0.0,2.0,25.0,17.0,modestly_suppressed,True
whole_seedling,GCR,Fanconi anemia pathway,0.0239,0.0239,1.0,2.0,2.0,0.0,46.0,44.0,modestly_activated,True
whole_seedling,GCR,GA_biosynthesis,-0.0481,-0.0481,0.5,2.0,1.0,1.0,17.0,11.0,rewired,False
whole_seedling,GCR,GA_core_NMF,,,0.0,2.0,0.0,0.0,3.0,2.0,no_coverage,False
whole_seedling,GCR,GA_signaling,0.0147,0.0147,1.0,2.0,2.0,0.0,10.0,10.0,modestly_activated,True
whole_seedling,GCR,Glucosinolate biosynthesis,-0.4468,-0.4468,1.0,2.0,0.0,2.0,26.0,23.0,suppressed,False
whole_seedling,GCR,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),-0.0097,-0.0097,0.5,2.0,1.0,1.0,80.0,77.0,rewired,False
whole_seedling,GCR,Gravitropism,-0.0495,-0.0495,1.0,2.0,0.0,2.0,9.0,8.0,modestly_suppressed,True
whole_seedling,GCR,Homologous recombination,-0.0077,-0.0077,0.5,2.0,1.0,1.0,60.0,57.0,rewired,False
whole_seedling,GCR,Hormone_transporters_ABCG,-0.2118,-0.2118,1.0,2.0,0.0,2.0,5.0,5.0,modestly_suppressed,True
whole_seedling,GCR,Hormone_transporters_NPF,0.0022,0.0022,0.5,2.0,1.0,1.0,6.0,4.0,rewired,False
whole_seedling,GCR,Hub_transporter_core,-0.0923,-0.0923,0.5,2.0,1.0,1.0,5.0,4.0,rewired,False
whole_seedling,GCR,Mismatch repair,-0.028,-0.028,1.0,2.0,0.0,2.0,32.0,32.0,modestly_suppressed,True
whole_seedling,GCR,Non-homologous end-joining,-0.0411,-0.0411,0.5,2.0,1.0,1.0,8.0,8.0,rewired,False
whole_seedling,GCR,Nucleotide excision repair,0.0107,0.0107,0.5,2.0,1.0,1.0,85.0,78.0,rewired,False
whole_seedling,GCR,Photoreceptors,0.0277,0.0277,1.0,2.0,2.0,0.0,10.0,10.0,modestly_activated,True
whole_seedling,GCR,Photosynthesis,-0.0537,-0.0537,0.5,2.0,1.0,1.0,46.0,45.0,rewired,False
whole_seedling,GCR,Photosynthesis - antenna proteins,-0.1412,-0.1412,1.0,2.0,0.0,2.0,22.0,21.0,modestly_suppressed,True
whole_seedling,GCR,Plant hormone signal transduction,0.0215,0.0215,0.5,2.0,1.0,1.0,433.0,376.0,rewired,False
whole_seedling,GCR,ROS_core_NMF,-0.1246,-0.1246,1.0,2.0,0.0,2.0,10.0,9.0,modestly_suppressed,True
whole_seedling,GCR,ROS_scavenging,-0.1013,-0.1013,1.0,2.0,0.0,2.0,24.0,22.0,modestly_suppressed,True
whole_seedling,GCR,Sugar_transporters_SWEET,-0.3497,-0.3497,1.0,2.0,0.0,2.0,11.0,8.0,suppressed,False
