tair_id,symbol_hint,modules,pathway_primary,atlas_celltype_primary,degree,mean_log2fc_OSD_dark,mean_log2fc_OSD_light
AT4G09570,,other,Plant hormone signal transduction,panel_only,17,-0.0052117571419433,-0.1504509786918659
AT5G47080,,CRY_circadian,Circadian rhythm - plant,panel_only,17,0.152194027825702,0.1946860901542222
AT1G53240,,other,Carbon fixation in photosynthetic organisms,panel_only,17,-0.0804275455638253,-0.2010282237727428
AT2G30970,,other,Carbon fixation in photosynthetic organisms,panel_only,17,0.0815731196573466,-0.1777689196942621
AT2G25930,ELF3,CRY_circadian,Circadian_core,panel_only,17,0.0787863976472046,0.2990385778973726
AT2G31970,,other,Non-homologous end-joining,panel_only,17,-0.2350894823239371,-0.068423210215135
AT4G03400,,other,Plant hormone signal transduction,panel_only,17,-0.142170240731868,-0.499128432245747
AT1G28130,,other,Plant hormone signal transduction,panel_only,17,-0.0021649517453538,-0.0582120832125336
AT5G26780,,other,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),panel_only,17,-0.0983239554858019,-0.2772927154935895
AT4G34050,,vascular,non-panel,Liew_xylem,16,-0.401069133250492,-0.0415872665250783
AT1G33800,,vascular,non-panel,Liew_xylem,15,-0.1603775366093267,0.1044146152896753
AT3G06300,,QC_rootcap,non-panel,Liew_root_cap,15,0.049043351529899,-0.05356714261055
AT3G14770,SWEET2,hypocotyl,Sugar_transporters_SWEET,Han:Cortex_hypocotyl,15,0.0391987600194989,0.0007855898711816
AT4G37410,,QC_rootcap,non-panel,Liew_QC,15,0.4286474617614537,0.444387670587325
AT1G17860,,QC_rootcap,non-panel,Liew_root_cap,15,0.4105674941492913,0.2202362064385614
AT3G05880,,vascular,non-panel,Liew_xylem,15,0.4356936343454273,0.6324892506018761
AT1G65845,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,15,0.5948205901335163,0.3951090875791083
AT3G16430,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,15,-0.0787323189502113,-0.0347753325400137
AT3G46440,,QC_rootcap,non-panel,Liew_root_cap,15,0.1253272821497029,0.2870521958077771
AT2G39770,,QC_rootcap,non-panel,Liew_root_cap,14,0.0218994077998788,-0.1929767539183562
AT4G30650,,QC_rootcap,non-panel,Liew_root_cap,14,0.6808692824407513,-0.516888994800964
AT2G36650,,vascular,non-panel,Liew_provasculature,14,-0.3805079193299259,0.7651256730373257
AT2G40610,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,14,1.372654691773322,-1.5487679594889068
AT5G43380,,vascular,non-panel,Liew_provasculature,14,-0.2786127065895652,0.9015763387147956
AT4G33220,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,13,0.0207034533655014,-0.1943711063747799
AT5G39320,,QC_rootcap,non-panel,Liew_root_cap,13,-0.260553264515079,-0.2320828436048624
AT5G63850,,vascular,non-panel,Liew_provasculature,13,-0.2935390533052472,-0.4267205944169207
AT2G38940,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,13,0.3140920410210193,0.3289470670772754
AT1G04220,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,13,-0.732851380409096,-0.198695474495857
AT3G15353,,vascular,non-panel,Liew_provasculature,13,0.2850605992758528,-0.0312673010581913
AT3G54560,,QC_rootcap,non-panel,Liew_QC,13,-0.1268222729483153,-0.4565338273231004
AT1G62981,,vascular,non-panel,Liew_xylem,13,-1.0631765650828913,-2.138667867115331
AT1G64640,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,13,-0.3553488500617254,-0.1234601832616783
AT1G74100,,QC_rootcap,Glucosinolate biosynthesis,Liew_QC,13,-0.06715029952832,-0.342292049231009
AT1G14080,,QC_rootcap,non-panel,Liew_root_cap,13,-0.1301045358820113,-0.0821291584158496
AT5G06860,,QC_rootcap,non-panel,Liew_root_cap,13,0.4173400635735299,0.1901624431810106
AT5G17330,,QC_rootcap,non-panel,Liew_root_cap,13,-0.2645993042113453,0.3511173209638789
AT1G21110,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,13,-0.0875042333675567,-0.0452026059763174
AT5G23730,,hypocotyl;CRY_circadian,Circadian rhythm - plant,Han:Cortex_hypocotyl,12,-0.3501717662436234,-0.8732952974866733
AT5G17460,,vascular,non-panel,Liew_xylem,12,1.328070244622596,1.3401287161351103
AT1G58360,,vascular,non-panel,Liew_provasculature,12,0.4482430524038716,0.759450987629246
AT1G60810,,vascular,non-panel,Liew_xylem,12,-0.2009775919946663,-0.4641863447192053
AT2G25980,,QC_rootcap,non-panel,Liew_root_cap,12,0.4468656026593189,1.4331195038031967
AT2G26660,,vascular,non-panel,Liew_provasculature,12,0.1779673274476089,0.0385028231572605
AT2G32380,,QC_rootcap,non-panel,Liew_root_cap,12,-0.0190212032755506,0.171948819311054
AT1G58070,,vascular,non-panel,Liew_xylem,12,0.0076489119869579,-0.2728859469179586
AT2G30395,,vascular,non-panel,Liew_xylem,12,0.5433380596398111,-0.2167761856078813
AT2G22190,,vascular,non-panel,Liew_provasculature,12,0.3196895529032224,0.3474624423322703
AT2G04850,,vascular,non-panel,Liew_xylem,12,-0.2511069752331315,-0.8018306452609262
AT3G12860,,QC_rootcap,non-panel,Liew_QC,12,0.2240771807941763,0.0237258722842014
AT1G33750,,QC_rootcap,non-panel,Liew_QC,12,-0.1789470090978225,3.252949996803052
AT3G18280,,vascular,non-panel,Liew_xylem,12,-0.6599286911598864,0.676973047151249
AT3G05890,,QC_rootcap,non-panel,Liew_root_cap,12,-0.2508132432833446,-0.0644986870575366
AT1G48480,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,12,-0.478034705556903,-0.6265129282848763
AT3G02170,,hypocotyl,non-panel,Han:Cortex_hypocotyl,12,-0.1988847995844847,-0.3113784083517282
AT2G35810,,hypocotyl,non-panel,Han:Cortex_hypocotyl,12,-0.1201766994774562,-0.0304316612970138
AT2G16700,,vascular,non-panel,Liew_provasculature,12,0.4199492825906999,0.6640342404390555
AT1G14890,,vascular,non-panel,Liew_xylem,12,0.2525186207535537,0.6419313259414724
AT5G02550,,QC_rootcap,non-panel,Liew_QC,12,-0.2635215120809123,-0.4970651887244776
AT4G17940,,QC_rootcap,non-panel,Liew_root_cap,12,0.1276996133642363,0.6921188991946506
AT5G43580,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,12,0.7872485638234589,1.310020952733392
AT5G48010,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,12,-1.5018948621944823,0.7183759247429662
AT5G57090,PIN2,QC_rootcap,Auxin_transporters_PIN,Liew_QC,12,0.0030166714714445,0.8381208841665927
AT5G49460,,vascular,non-panel,Liew_xylem,12,-0.0398051490861953,-0.0339199914788341
AT4G33145,,QC_rootcap,non-panel,Liew_QC,12,0.1265008046488505,1.138658711628456
AT5G23860,,vascular,non-panel,Liew_xylem,12,-0.2121803793803757,-0.4266783586180021
AT3G27200,,vascular,non-panel,Liew_xylem,12,-0.6441191326582106,-0.5853439068253307
AT3G18660,,vascular,non-panel,Liew_xylem,12,-0.9951992828250064,-1.2466367245828298
AT2G47600,,hypocotyl,non-panel,Han:Cortex_hypocotyl,12,-0.2218881930399893,0.556640337171454
AT3G59670,,QC_rootcap,non-panel,Liew_QC,12,0.0105274541368965,0.1324749969139125
AT4G11320,,hypocotyl,non-panel,Han:Cortex_hypocotyl,12,-1.2386423699244065,-2.668957822681979
AT3G03270,,vascular,non-panel,Liew_provasculature,12,0.0022469064910043,0.5937453835428803
AT1G73330,,hypocotyl,non-panel,Han:Cortex_hypocotyl,12,-1.0666438646184837,-1.1485949003019127
AT4G19170,NCED4,ABA,ABA_biosynthesis,panel_only,11,0.6039708203851747,-0.4640479261913537
AT4G22460,,hypocotyl,non-panel,Han:Cortex_hypocotyl,11,-0.0620431805873404,-0.0194945908816869
AT5G26680,,other,Non-homologous end-joining,panel_only,11,-0.1085933833531065,0.1094339722766124
AT5G16590,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,11,-0.3788995410995077,-0.4367811913201847
AT5G14200,,other,Glucosinolate biosynthesis,panel_only,11,-0.7022412371688227,-0.953480508846358
AT5G12870,,vascular,non-panel,Liew_xylem,11,-0.6602891896864439,-0.7538562752329887
AT5G04080,,vascular,non-panel,Liew_provasculature,11,-0.0630541390760524,0.2881354530074453
AT5G37020,,other,Plant hormone signal transduction,panel_only,11,-0.1968344546795368,-0.2010684866013075
AT5G51940,,other,Nucleotide excision repair,panel_only,11,-0.0346103682940805,0.1611428896708299
AT5G65210,,other,Plant hormone signal transduction,panel_only,11,-0.2115656417607558,0.0802166485036623
AT1G04680,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,11,-0.568931676741259,-0.5486507849865504
AT5G57220,,hypocotyl,non-panel,Han:E.hypocotyl_epidermis,11,-0.3086195935850323,-0.0166089944228193
AT1G06475,,vascular,non-panel,Liew_provasculature,11,-0.4596133068438239,-0.6319646047289522
