tair_id,symbol_hint,is_panel,is_hub_han,is_hub_liew,atlas_celltype_primary,pathway_primary,mean_log2fc_OSD_dark,mean_log2fc_OSD_light,degree,weighted_degree,betweenness
AT2G32440,,True,False,False,panel_only,Diterpenoid biosynthesis (GA biosynthesis),0.1440852158418479,0.01004476285235197,3,3.0,0.0
AT4G34790,,True,False,False,panel_only,Plant hormone signal transduction,0.3459648918596853,-1.064951401237557,3,3.0,0.0
AT1G19480,,True,False,False,panel_only,Base excision repair,-0.33965152789002667,-0.23354230427430042,3,3.0,0.0
AT4G39400,,True,False,False,panel_only,Plant hormone signal transduction,-0.09593470767079804,-0.21005023963661998,3,3.0,0.0
AT1G54250,,True,False,False,panel_only,Nucleotide excision repair,-0.0840931251848663,-0.17678403308106097,3,3.0,0.0
AT1G19750,,True,False,False,panel_only,Nucleotide excision repair,-0.5744675108725399,0.11463548294887167,3,3.0,0.0
AT4G26080,ABI1,True,False,False,panel_only,ABA_signaling,0.6842658220890275,1.4116890607058015,3,3.0,0.0
AT2G29570,,True,False,False,panel_only,Mismatch repair,-0.04377992731158009,-0.033274830103799335,3,3.0,0.0
AT4G28720,,True,False,False,panel_only,Plant hormone signal transduction,-0.10966136915111292,-0.37371375629402803,3,3.0,0.0
AT2G30980,,True,False,False,panel_only,Plant hormone signal transduction,-0.005677485725871965,-0.18463297379722676,3,3.0,0.0
AT2G30620,,False,False,True,Liew_QC,non-panel,0.4279630868769397,0.1178529470247971,3,3.0,0.0
AT4G27520,,False,False,True,Liew_provasculature,non-panel,0.11213582943485005,0.34452370909603963,3,3.0,0.0
AT5G12480,,True,False,False,panel_only,Plant hormone signal transduction,-0.040916837599616,0.22566793687592504,3,3.0,0.0
AT1G55670,,True,False,False,panel_only,Photosynthesis,0.5747184378304976,-1.8723043694468646,3,3.0,0.0
AT1G04020,,True,False,False,panel_only,Homologous recombination,-0.17714746384793,-0.38376693931127054,3,3.0,0.0
AT1G01360,,True,False,False,panel_only,Plant hormone signal transduction,-0.05455628987441027,0.44802054097437116,3,3.0,0.0
AT5G09660,,True,False,False,panel_only,Carbon fixation in photosynthetic organisms,0.8814606462283571,-0.4768488413709508,2,2.0,0.0
AT5G19450,,True,False,False,panel_only,Plant hormone signal transduction,-0.007031969303161629,0.36456484663454,2,2.0,0.0
AT1G67090,,True,False,False,panel_only,Carbon fixation in photosynthetic organisms,-0.2107146437666653,-2.6154549773196316,2,2.0,0.0
AT5G56870,,False,True,False,Han:E.hypocotyl_epidermis,non-panel,1.0476239619596426,0.7394342346143867,2,2.0,0.0
AT5G60100,,True,False,False,panel_only,Circadian rhythm - plant,-0.13144293725540465,0.7923961082125315,2,2.0,0.0
AT5G61270,,True,False,False,panel_only,Plant hormone signal transduction,2.201361813556665,-0.691625449932879,2,2.0,0.0
AT4G17640,,True,False,False,panel_only,Circadian rhythm - plant,0.06891264131011374,-0.185081817362347,2,2.0,0.0
AT5G61340,,False,True,False,Han:E.hypocotyl_epidermis,non-panel,-0.261872558584108,-0.3282832161014197,2,2.0,1.5083502268558742e-06
AT5G54270,,True,False,False,panel_only,Photosynthesis - antenna proteins,1.2975761414198272,-1.6345013667733446,2,2.0,0.0
AT5G61380,TOC1,True,False,False,panel_only,Circadian_core,0.04905527647238061,0.357004281564572,2,2.0,0.0
AT5G61410,,True,False,False,panel_only,Carbon fixation in photosynthetic organisms,0.40256796393337163,-0.25433324113972067,2,2.0,0.0
AT5G64040,,True,False,False,panel_only,Photosynthesis,1.5690197334773675,-0.9283511544533737,2,2.0,0.0
AT5G67030,ABA3/LOS5,True,False,False,panel_only,ABA_biosynthesis,0.6130977125693348,-0.26784881577623937,2,2.0,0.0
AT5G38410,,True,False,False,panel_only,Carbon fixation in photosynthetic organisms,-0.26402581148470533,-4.3034818841210996,2,2.0,0.0
AT5G38420,,True,False,False,panel_only,Carbon fixation in photosynthetic organisms,0.400236748784373,-2.9415503113171373,2,2.0,0.0
AT5G65670,,True,False,False,panel_only,Plant hormone signal transduction,-0.10343721115266745,0.1188948681950215,2,2.0,0.0
AT1G56150,,True,False,False,panel_only,Plant hormone signal transduction,2.2650115414183687,-0.19948080042448466,2,2.0,0.0
AT1G56190,,True,False,False,panel_only,Carbon fixation in photosynthetic organisms,0.2307652154328699,-0.6839103879616343,2,2.0,0.0
AT1G56240,,False,True,False,Han:E.hypocotyl_epidermis,non-panel,1.3791809908467707,0.8756477952071601,2,2.0,1.5083502268558742e-06
AT4G26530,,True,False,False,panel_only,Carbon fixation in photosynthetic organisms,1.2463753576092458,-3.167401996034218,2,2.0,0.0
AT2G31320,,True,False,False,panel_only,Base excision repair,-0.157429129004431,0.02640230814474807,2,2.0,0.0
AT2G33310,,True,False,False,panel_only,Plant hormone signal transduction,-0.330725478267493,0.15715123633240402,2,2.0,0.0
AT4G34000,ABF3,True,False,False,panel_only,ABA_signaling,0.5625912899617947,1.0233577587726528,2,2.0,0.0
AT4G37550,,True,False,False,panel_only,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),0.04938089632296002,-0.2717173601536342,2,2.0,0.0
AT4G22710,,False,True,False,Han:E.hypocotyl_epidermis,non-panel,-0.6369432494635666,2.6734917495396733,2,2.0,1.5083502268558742e-06
AT4G24210,SLY2,True,False,False,panel_only,GA_signaling,0.10544029514400126,0.10638221804939407,2,2.0,0.0
AT1G19180,,True,False,False,panel_only,Plant hormone signal transduction,0.6631652284841524,0.3166645935037637,2,2.0,0.0
