tair_id,gene_name,tissue,time,ratio,log2_ratio
AT5G17040,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,4h,1.77,0.8237
AT5G17040,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,24h,0.97,-0.0439
AT5G17040,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,48h,0.92,-0.1203
AT5G17040,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,96h,0.83,-0.2688
AT5G17040,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,4h,2.0,1.0
AT5G17040,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,24h,0.76,-0.3959
AT5G17040,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,48h,1.12,0.1635
AT5G17040,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,96h,1.02,0.0286
AT2G37040,"ATPAL1, PAL1, PHE AMMONIA LYASE 1",root,4h,0.96,-0.0589
AT2G37040,"ATPAL1, PAL1, PHE AMMONIA LYASE 1",root,24h,0.93,-0.1047
AT2G37040,"ATPAL1, PAL1, PHE AMMONIA LYASE 1",root,48h,1.02,0.0286
AT2G37040,"ATPAL1, PAL1, PHE AMMONIA LYASE 1",root,96h,1.05,0.0704
AT2G37040,"ATPAL1, PAL1, PHE AMMONIA LYASE 1",shoot,4h,0.9,-0.152
AT2G37040,"ATPAL1, PAL1, PHE AMMONIA LYASE 1",shoot,24h,1.07,0.0976
AT2G37040,"ATPAL1, PAL1, PHE AMMONIA LYASE 1",shoot,48h,1.18,0.2388
AT2G37040,"ATPAL1, PAL1, PHE AMMONIA LYASE 1",shoot,96h,1.14,0.189
AT5G63590,"ATFLS3, FLAVONOL SYNTHASE 3, FLS3",root,4h,1.09,0.1243
AT5G63590,"ATFLS3, FLAVONOL SYNTHASE 3, FLS3",root,24h,0.94,-0.0893
AT5G63590,"ATFLS3, FLAVONOL SYNTHASE 3, FLS3",root,48h,1.03,0.0426
AT5G63590,"ATFLS3, FLAVONOL SYNTHASE 3, FLS3",root,96h,0.99,-0.0145
AT5G63590,"ATFLS3, FLAVONOL SYNTHASE 3, FLS3",shoot,4h,1.0,0.0
AT5G63590,"ATFLS3, FLAVONOL SYNTHASE 3, FLS3",shoot,24h,0.71,-0.4941
AT5G63590,"ATFLS3, FLAVONOL SYNTHASE 3, FLS3",shoot,48h,1.18,0.2388
AT5G63590,"ATFLS3, FLAVONOL SYNTHASE 3, FLS3",shoot,96h,1.22,0.2869
AT5G17050,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,4h,0.99,-0.0145
AT5G17050,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,24h,1.05,0.0704
AT5G17050,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,48h,1.04,0.0566
AT5G17050,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,root,96h,1.06,0.0841
AT5G17050,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,4h,0.88,-0.1844
AT5G17050,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,24h,1.03,0.0426
AT5G17050,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,48h,1.2,0.263
AT5G17050,UDP-glucoronosyl/UDP-glucosyl transferase family protein ,shoot,96h,1.08,0.111
AT5G05270,"ATCHIL, CHALCONE ISOMERASE LIKE, CHIL",root,4h,1.14,0.189
AT5G05270,"ATCHIL, CHALCONE ISOMERASE LIKE, CHIL",root,24h,1.04,0.0566
AT5G05270,"ATCHIL, CHALCONE ISOMERASE LIKE, CHIL",root,48h,0.97,-0.0439
AT5G05270,"ATCHIL, CHALCONE ISOMERASE LIKE, CHIL",root,96h,0.85,-0.2345
AT5G05270,"ATCHIL, CHALCONE ISOMERASE LIKE, CHIL",shoot,4h,0.73,-0.454
AT5G05270,"ATCHIL, CHALCONE ISOMERASE LIKE, CHIL",shoot,24h,1.01,0.0144
AT5G05270,"ATCHIL, CHALCONE ISOMERASE LIKE, CHIL",shoot,48h,1.23,0.2987
AT5G05270,"ATCHIL, CHALCONE ISOMERASE LIKE, CHIL",shoot,96h,1.13,0.1763
AT5G08640,"ATFLS1, FLAVONOL SYNTHASE, FLAVONOL SYNTHASE 1, FLS, FLS1",root,4h,1.04,0.0566
AT5G08640,"ATFLS1, FLAVONOL SYNTHASE, FLAVONOL SYNTHASE 1, FLS, FLS1",root,24h,0.91,-0.1361
AT5G08640,"ATFLS1, FLAVONOL SYNTHASE, FLAVONOL SYNTHASE 1, FLS, FLS1",root,48h,1.05,0.0704
AT5G08640,"ATFLS1, FLAVONOL SYNTHASE, FLAVONOL SYNTHASE 1, FLS, FLS1",root,96h,1.02,0.0286
AT5G08640,"ATFLS1, FLAVONOL SYNTHASE, FLAVONOL SYNTHASE 1, FLS, FLS1",shoot,4h,1.15,0.2016
AT5G08640,"ATFLS1, FLAVONOL SYNTHASE, FLAVONOL SYNTHASE 1, FLS, FLS1",shoot,24h,1.08,0.111
AT5G08640,"ATFLS1, FLAVONOL SYNTHASE, FLAVONOL SYNTHASE 1, FLS, FLS1",shoot,48h,1.46,0.546
